Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HomeAutomation.Client\HomeAutomation.Client.csproj,File,HomeAutomation.Client\HomeAutomation.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 9.0.8,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 9.0.8  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HomeAutomation.Client\HomeAutomation.Client.csproj,File,HomeAutomation.Client\HomeAutomation.Client.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\HomeAutomation.Core.csproj,,,Microsoft.Extensions.Configuration.Abstractions 9.0.8,,,,,"Microsoft.Extensions.Configuration.Abstractions, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Configuration.Abstractions, and replace with new package Microsoft.Extensions.Configuration.Abstractions 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\HomeAutomation.Core.csproj,,,Microsoft.Extensions.Configuration.Binder 9.0.8,,,,,"Microsoft.Extensions.Configuration.Binder, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Configuration.Binder, and replace with new package Microsoft.Extensions.Configuration.Binder 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\HomeAutomation.Core.csproj,,,Microsoft.Extensions.Hosting.Abstractions 9.0.8,,,,,"Microsoft.Extensions.Hosting.Abstractions, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\HomeAutomation.Core.csproj,,,Microsoft.Extensions.Http 9.0.8,,,,,"Microsoft.Extensions.Http, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\HomeAutomation.Core.csproj,,,Microsoft.Extensions.Logging.Abstractions 9.0.8,,,,,"Microsoft.Extensions.Logging.Abstractions, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.5"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\HomeAutomation.Core.csproj,,,MimeKit 4.13.0,,,,,"MimeKit, 4.13.0  Recommendation:  MimeKit, 4.15.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\HomeAutomation.Core.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\ScheduledJobs\Base\ScheduledJobHandler.cs,17,12,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_timer = new Timer(ProcessTimer, cancellationToken, TimeSpan.FromSeconds(30), TimeSpan.FromSeconds(interval));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\ScheduledJobs\Base\ScheduledJobHandler.cs,17,12,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_timer = new Timer(ProcessTimer, cancellationToken, TimeSpan.FromSeconds(30), TimeSpan.FromSeconds(interval));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\ScheduledJobs\ImportSunDataScheduleJob.cs,21,12,T:System.Net.Http.HttpContent,,,,,var data = await response.Content.ReadFromJsonAsync<SunDataResponse>(cancellationToken);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\ScheduledJobs\CalculateBatteryChargingScheduleJob.cs,164,8,T:System.Uri,,,,,"request.Headers.Referrer = new Uri(configuration.GetValue(""EnergyPrices:Referrer"", """"));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HomeAutomation.Core\HomeAutomation.Core.csproj,File,HomeAutomation.Core\ScheduledJobs\CalculateBatteryChargingScheduleJob.cs,164,8,M:System.Uri.#ctor(System.String),,,,,"request.Headers.Referrer = new Uri(configuration.GetValue(""EnergyPrices:Referrer"", """"));"
